######  LOG REPORT  ###### 
 
MODEL : DT_0.1_1-40
ENVIRONMENTS SET : detour_curriculum_40
 
ENV NAME : 0.yml 
SUCCESS : NO ! 
 
ENV NAME : 1.yml 
SUCCESS : NO ! 
 
ENV NAME : 2.yml 
SUCCESS : NO ! 
 
ENV NAME : 3.yml 
SUCCESS : NO ! 
 
ENV NAME : 4.yml 
SUCCESS : NO ! 
 
ENV NAME : 5.yml 
SUCCESS : NO ! 
 
ENV NAME : 6.yml 
SUCCESS : NO ! 
 
ENV NAME : 7.yml 
SUCCESS : NO ! 
 
ENV NAME : 8.yml 
SUCCESS : NO ! 
 
ENV NAME : 9.yml 
SUCCESS : NO ! 
 
ENV NAME : 10.yml 
SUCCESS : NO ! 
 
ENV NAME : 11.yml 
SUCCESS : NO ! 
 
ENV NAME : 12.yml 
SUCCESS : NO ! 
 
ENV NAME : 13.yml 
SUCCESS : NO ! 
 
ENV NAME : 14.yml 
SUCCESS : NO ! 
 
ENV NAME : 15.yml 
SUCCESS : NO ! 
 
ENV NAME : 16.yml 
SUCCESS : NO ! 
 
ENV NAME : 17.yml 
SUCCESS : NO ! 
 
ENV NAME : 18.yml 
SUCCESS : NO ! 
 
ENV NAME : 19.yml 
SUCCESS : NO ! 
 
ENV NAME : 20.yml 
SUCCESS : NO ! 
 
ENV NAME : 21.yml 
SUCCESS : YES, in 127 steps ! 
 
ENV NAME : 22.yml 
SUCCESS : NO ! 
 
ENV NAME : 23.yml 
SUCCESS : NO ! 
 
ENV NAME : 24.yml 
SUCCESS : NO ! 
 
ENV NAME : 25.yml 
SUCCESS : NO ! 
 
ENV NAME : 26.yml 
SUCCESS : NO ! 
 
ENV NAME : 27.yml 
SUCCESS : NO ! 
 
ENV NAME : 28.yml 
SUCCESS : NO ! 
 
ENV NAME : 29.yml 
SUCCESS : NO ! 
 
ENV NAME : 30.yml 
SUCCESS : NO ! 
 
ENV NAME : 31.yml 
SUCCESS : NO ! 
 
ENV NAME : 32.yml 
SUCCESS : NO ! 
 
ENV NAME : 33.yml 
SUCCESS : NO ! 
 
ENV NAME : 34.yml 
SUCCESS : NO ! 
 
ENV NAME : 35.yml 
SUCCESS : NO ! 
 
ENV NAME : 36.yml 
SUCCESS : NO ! 
 
ENV NAME : 37.yml 
SUCCESS : NO ! 
 
ENV NAME : 38.yml 
SUCCESS : NO ! 
 
ENV NAME : 39.yml 
SUCCESS : NO ! 
 
ENV NAME : 40.yml 
SUCCESS : NO ! 
 
PERCENTAGE SUCCESS : 2.4 %
TOTAL TIME : 0:19:08
